Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
Like maroon Comment ed sheeran	UgxD46CBoJVhQCAibLp4AaABAg	2018-12-08T02:32:48.000Z	Comment	2Vv-BfVoq4g	Ed Sheeran - Perfect (Official Music Video)
Its Legendary December	Ugx91N6QKBVsR24qOH94AaABAg	2018-12-08T02:31:02.000Z	Comment	2Vv-BfVoq4g	Ed Sheeran - Perfect (Official Music Video)
Feelings so deep in feelings	UgzG83e-1TszyKCMO8F4AaABAg	2018-12-08T02:28:16.000Z	Comment	2Vv-BfVoq4g	Ed Sheeran - Perfect (Official Music Video)
I love your songs seriously I would like to meet you There are not so many songs so beautiful Everything is reggaet n I would love that the person I love would also love me I am not very good in English	UgydHSuRFNFux7vGSQ94AaABAg	2018-12-08T02:20:23.000Z	Comment	2Vv-BfVoq4g	Ed Sheeran - Perfect (Official Music Video)
I love it	UgwTYwXgN9KGAB7WIaN4AaABAg	2018-12-08T02:13:49.000Z	Comment	2Vv-BfVoq4g	Ed Sheeran - Perfect (Official Music Video)
como me encanta esta cancion	UgztF8wJRD-SI92_V_Z4AaABAg	2018-12-08T02:12:03.000Z	Comment	2Vv-BfVoq4g	Ed Sheeran - Perfect (Official Music Video)
Awwww love your music your the best	Ugwdf7L_S85fVKV2FSl4AaABAg	2018-12-08T02:08:46.000Z	Comment	2Vv-BfVoq4g	Ed Sheeran - Perfect (Official Music Video)
I love this song thank you for making it	Ugxn4ht_YPobdCoyUfB4AaABAg	2018-12-08T02:06:01.000Z	Comment	2Vv-BfVoq4g	Ed Sheeran - Perfect (Official Music Video)
December	UgxHvVj4_XaLBTLKqW14AaABAg	2018-12-08T01:56:15.000Z	Comment	2Vv-BfVoq4g	Ed Sheeran - Perfect (Official Music Video)
it s perfect	Ugwmueq-3gsvUR3HAHZ4AaABAg	2018-12-08T01:49:54.000Z	Comment	2Vv-BfVoq4g	Ed Sheeran - Perfect (Official Music Video)
music bealtiful	UgxbkgbDBAifci7ppJR4AaABAg	2018-12-08T01:49:32.000Z	Comment	2Vv-BfVoq4g	Ed Sheeran - Perfect (Official Music Video)
