Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
k dislike those are not humans	UgxvML-b5CmsmbGs2ll4AaABAg	2018-12-08T02:43:17.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
I LOVE	Ugyg4soohX7kj-ImHGt4AaABAg	2018-12-08T02:42:09.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
I m sorry i love this song but the only thing i see is that baby at the end grabbing that ladies boobs anyone else lmao	Ugy_0qp3jKgGJNfjb5x4AaABAg	2018-12-08T02:37:48.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
petra loves this song she sing at the top of her lungs	Ugx0F7cW3Hj2RUrxWXt4AaABAg	2018-12-08T02:35:34.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
Stunning cast	Ugwr6Y4flgN-fMMxuG14AaABAg	2018-12-08T02:35:06.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
Where is lele	UgzB7hCDPNIYt2DjHsh4AaABAg	2018-12-08T02:34:38.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
Very good vc ai	UgydpSD2iH0a9n5FTu94AaABAg	2018-12-08T02:33:55.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
HELLO CARDI B	Ugz7VqQPK0DUwOXUVpN4AaABAg	2018-12-08T02:33:24.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
Love this song	UgxZ812ImsQiAXXANfd4AaABAg	2018-12-08T02:33:04.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
Y the funniest men always forbidden	Ugw3tV0HHco06TcfXBp4AaABAg	2018-12-08T02:32:46.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
Dios me encanta	UgwvuN7U6CkfDJF9Uq14AaABAg	2018-12-08T02:31:19.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
Girls like you BEST SONG EVER	Ugwd4VA7Jk551WqZmT54AaABAg	2018-12-08T02:31:10.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
Amo Essa m sica	UgxnpwFAK2iTDfbI3yV4AaABAg	2018-12-08T02:30:24.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
anyone	UgxysE0mPykj_4kOnDJ4AaABAg	2018-12-08T02:29:49.000Z	Comment	aJOTlE1K90k	Maroon 5 - Girls Like You ft. Cardi B
