Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
RIP PRESIDENT BUSH	UgwvrN-JEmlNpxs36Nx4AaABAg	2018-12-07T19:58:31.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
bad call	UgxkQ-p1yzER9orKwR94AaABAg	2018-12-07T01:04:58.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
I thought belicheck woulda learned by this game that Eric Rowe is ass	UgwSlZXw46BuCMjE2Ch4AaABAg	2018-12-06T13:01:03.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
RIP BUSH	Ugwj_yl2CtzS-aGzaJN4AaABAg	2018-12-06T04:18:51.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
Rest in peace president bush	Ugwkxlb7ktZmE_QshUp4AaABAg	2018-12-05T05:35:29.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
Que jogo feio	Ugzi9uvKv_bj2ei-xZB4AaABAg	2018-12-04T10:07:36.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
Rip HW	Ugya8Iihr6KmXK0dHOl4AaABAg	2018-12-04T05:48:08.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
Of course the Patriots win the coin toss in OT Classic	UgzW6i8-oG-Yf0sfFh94AaABAg	2018-12-04T03:44:50.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
barry never give up	Ugz0gPZgRE_lrRGuRjZ4AaABAg	2018-12-04T02:58:56.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
Last play he fumble	Ugzlm30oj2xEz8bCRlh4AaABAg	2018-12-04T01:53:19.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
what t hu	Ugz3kFgSbaubtRmpRop4AaABAg	2018-12-03T01:10:16.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
Week year later FALCONS GOT REKT BY PATS Coming from a Eagles fan	Ugx3rFurhnS-jnV0hLB4AaABAg	2018-12-02T23:40:09.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
you cant deny that brady is one of the goats for sure	UgycN7rH2DRCtKQol7F4AaABAg	2018-12-02T18:02:20.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
Oof	UgzPMK6HPC3VP_yUqf94AaABAg	2018-12-02T05:59:49.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
The Greatest Super Bowl you experience in your lifetime	UgzemiHWwHd8v_RZvG14AaABAg	2018-12-01T21:23:27.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
Its hard being a falcon fan	Ugyuco29GiI2MlPRJyB4AaABAg	2018-12-01T20:58:44.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
R I P President Bush	Ugw8U6GMJVyx4a3LizR4AaABAg	2018-12-01T06:28:25.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
R i p Mr Bush	Ugyl69CW8yDClBpTCLV4AaABAg	2018-12-01T05:27:39.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
the refs must be blind cuz that s a flag	UgzzoJ59lZ6IgcEe2Td4AaABAg	2018-11-30T05:17:57.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
This was easily the best sports game I ve ever watched	UgwO6dm8jRGAzbBewJp4AaABAg	2018-11-29T22:53:48.000Z	Comment	016LXFHpFCk	Patriots vs. Falcons | Super Bowl LI Game Highlights
It s been almost two years and I m still looking for the soundtrack from this Anybody know the exact music from NFL Films	Ugwxp1lJHuQP87Htvlh4AaABAg	2018-11-30T01:33:31.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
Chiefs better be in this years super bowl	UgyA5r_hfi-2jd96i1F4AaABAg	2018-11-29T23:13:59.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
The only people watching this are probably people from Massachusetts and other New England states	UgzEG3MoPK3ESDclWE14AaABAg	2018-11-24T16:16:15.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
BiGgEst CatCh Of ThE NiGhT	UgzcxB5lP1WMrD45QWZ4AaABAg	2018-11-21T22:07:20.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
Every god damn super bowl for the pats	UgzifMLSCjDy-oHkJj14AaABAg	2018-11-19T19:52:45.000Z	Comment	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
