Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
hes gone fat	UgworuZyNRtl95wr2Qp4AaABAg	2018-12-06T21:06:10.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
Is this a show about HOMOS	Ugw1AqSfsazGiXPUgTN4AaABAg	2018-12-05T07:19:06.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
Did teller just talk	UgyE_KCiZAhxeSSuX7F4AaABAg	2018-12-05T01:35:29.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
x X	Ugy3oTPOMQyLD2nLHcd4AaABAg	2018-12-03T04:13:28.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
shows that howard actually cares a little about him and sheldons relationship	Ugws03V9xlwe2MXKR8F4AaABAg	2018-12-02T18:03:56.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
Thank you The last work was the best of all the bests in this vedio	Ugy0XUTb6fY7-G397fF4AaABAg	2018-12-02T03:30:45.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
is the world tired of a ish years old science nerd sheldon acting like a spoiled year old borderline dbag i love the show but really reality think about it larry he cant act like a tool for ever	UgzNEP5qsVrVJIreFXB4AaABAg	2018-12-02T02:52:43.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
Wouldn t it be cool if they did a few episodes of what their lives would be like if they never met Amy n Bernie it was still the original characters	Ugw5IoAEyrwiLQbGCZ94AaABAg	2018-12-01T07:49:19.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
What do you thinks their best season	UgxIEpBztCjLRN9b9I94AaABAg	2018-12-01T07:15:06.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
No Hilarious moments Down voted for misleading title Foolish Lu Mi	Ugxn3goboCcdVhuzK-R4AaABAg	2018-12-01T04:46:00.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
If a female is married then she would be called Matron of Honor	Ugw3ItENtCeZSZ97o_N4AaABAg	2018-12-01T01:34:34.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
First time i heard his voice	Ugy5-8bmVau7x-h0bLh4AaABAg	2018-11-29T21:46:56.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
Hey I think there was a mistake There was a laugh track when there was no joke	Ugws3CW6dijoxhavRB14AaABAg	2018-11-29T03:14:07.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
reminds me of the th doctor	UgxeE8vgDXX4gjyq_IF4AaABAg	2018-11-28T14:47:55.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
I absolutely love this show and I will be totally lost without it Is there any chance they will decide to keep it going I just dont know how they can cancel the show when everyone loves it so much	UgxN2-bwaEsawxdoTP54AaABAg	2018-11-27T13:28:15.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
what s Bernoulli s pipe gotta do with string theory	Ugw_TKm32ksgUL5QOux4AaABAg	2018-11-27T10:16:54.000Z	Comment	9qcVqp2PRQ8	The Big Bang Theory- Hilarious moments - Season 11
