Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
Bitcoin has no value	UgyeeASXAzSXJeWzCxZ4AaABAg	2018-11-22T04:20:27.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
airdrop Sign up	UgyRFv3pCwqjJRO1dPF4AaABAg	2018-10-31T13:38:37.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
You are making people more stupider	Ugx8wBz__brce3PX2XZ4AaABAg	2018-10-27T03:30:02.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
Blocktoken s massive million airdrop is almost over Don t forget to sign up now We are preparing to roll out the next gen EOS based token issuance platform and are rewarding the community to register for free BLT Tokens Additional huge prizes for the top leaderboard rankings including a bonus tokens for st Place	UgwruZTUmZ-cZGefbWN4AaABAg	2018-10-18T01:17:12.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
Any super rich who wants to send me some Ethereum ETH xcbe cdaa b b c c f bbd fe cd c d	UgyUXUNIpaNkghlLb1J4AaABAg	2018-09-24T09:47:40.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
ETH will hit in Years	Ugz3MiF57uNYSi-nEK54AaABAg	2018-09-23T07:23:50.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
cool	UgxIVuFIY64ZMPK1Zql4AaABAg	2018-09-19T19:40:21.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
I watched this twice and still don t get it What s the penalty if someone doesn t hold up their end of a smart contract This sounds more like a virtual Craigslist	Ugzi5pu5fFPYPVKfNkR4AaABAg	2018-08-06T17:14:31.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
Stellar Lumens XLM	UgxrXc7yn-2mkcoX-8V4AaABAg	2018-08-05T23:33:01.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
Get a discount on trading fees for months using this link	UgwV7OzzzsOKqOwjiFJ4AaABAg	2018-08-04T18:04:05.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
ETH is centralized and controlled They have already manipulated their ledger to reverse monetary transactions If you hold ETH you are trusting corporations with your money If you hold BTC you are trusting yourself and no one can take your BTC away from you because it is DECENTRALIZED Corporate shills will never explain the centralization issue You don t need block chain for smart contracts if your platform is centralized Just use a database The true value of bitcoin is that it cannot be tampered with unlike all the other currencies available not just crypto currencies All alt coins will eventually go to because everything they do can be done in immutable fashion on the one true blockchain BITCOIN the people s money	UgwERCZK6Nxt-eahsHB4AaABAg	2018-08-04T14:33:09.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
Check this Green Crypto Currency	UgygeZZSIDKmhIAKHQN4AaABAg	2018-08-04T09:30:32.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
On Bitcoin is and Ethereum is Yup That is all you need to know	UgybTX2Ypi-RXSToJjV4AaABAg	2018-07-25T01:59:26.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
The legendary insta millionaire flash crash	UgwvCJQoSBsP_A2IpDR4AaABAg	2018-07-22T02:54:02.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
Download Free Ethereum Spinner Earn Ethereum for FREE	UgzN74y101qV0EcU-cd4AaABAg	2018-07-18T17:46:44.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
Its like a perfect vending machine haha except that it completely froze up when people just wanted to play crypto kitties LOL and now EOS mainnet is LAUNCHED and will be eating its lunch learn more about EOS on my steem blog on STEEM blockchain a freakin social media chain thousands of times faster than bitcoin AND ethereum which lets users get PAID for getting Likes or Upvotes and we actually make up around HALF of all Blockchain activity in the WORLD	UgyVkRqmQO6JICv2lxx4AaABAg	2018-06-15T12:34:31.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
theres one to look at	UgzRdFKwcu_Z-AIyncJ4AaABAg	2018-06-09T10:34:13.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
Etherium wil be better in years than bitcoi	UgyMC1Fuxxuiy9v0OfV4AaABAg	2018-06-01T23:09:48.000Z	Comment	0UBk1e5qnr4	Ethereum Vs. Bitcoin: What Sets Them Apart? | CNBC
