Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
pa pa pradou paradaise	UgzAtkJ26EclBupVqW14AaABAg	2018-12-08T02:38:41.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
WILLIREX	UgydX8frlIj-lWf2zXN4AaABAg	2018-12-08T02:11:40.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
Perfect	UgwJutpSLoh7gKzs7d54AaABAg	2018-12-08T02:03:35.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
Saudades de malha o	UgxzCNt4escMN18WtY54AaABAg	2018-12-08T02:02:57.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
Ah this song is me when i was like years My life was easier and i felt identified with the letter i wish i could explain this more but it will take a lot of time and no one will read it	UgwXS_TjPrLFNirtEkh4AaABAg	2018-12-08T02:00:28.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
Like si viniste por willirex v	UgyLTcFmP1IgIIyIMwZ4AaABAg	2018-12-08T02:00:26.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
Good song but this is the story of how furrys were invented	UgwMuBsiV_sg1QYWzB54AaABAg	2018-12-08T01:31:58.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
Willyrex si que sabe cantar xd	UgwVZndlLUpUPz93eaF4AaABAg	2018-12-08T01:17:07.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
My fav	Ugxpya-9k7hNEokCOp54AaABAg	2018-12-08T01:06:11.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
Its a shit	UgwnFRFnkfKLVtWH3BN4AaABAg	2018-12-08T01:01:26.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
WILLYREX xD	Ugwm5rMBcadbEdi2frd4AaABAg	2018-12-08T00:45:41.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
SouAwaker	UgwhpDOaZ8BVjtM83dp4AaABAg	2018-12-08T00:34:08.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
HAPPY BILLION OF PARADISE	UgxAiFnks5SsL3QyU7B4AaABAg	2018-12-08T00:20:36.000Z	Comment	1G4isv_Fylg	Coldplay - Paradise (Official Video)
