Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
billion views	Ugw59hSqSlQQ0GMWkD94AaABAg	2018-12-08T02:53:18.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
billion views	UgxMvI8YTGMTU0ctoWJ4AaABAg	2018-12-08T02:40:34.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
though i dont underst all of lyric my E s so bad but thin i am really sure dat i ur flow ur style which were da best in my mind everybody everybody	UgxdvEM7-rnaKigbTrF4AaABAg	2018-12-08T02:34:24.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
This song changed my life	UgzyUGZXU3gVIXVNTBB4AaABAg	2018-12-08T02:11:22.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
Same	UgzNsdJIR5mHBOIOqXB4AaABAg	2018-12-08T02:11:22.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
I am still listening to this music I am a big fan of Eminem	UgxcMJ9ULnh3izmELtF4AaABAg	2018-12-08T02:08:15.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
I let my brother listen to this he s now super saiyen god	Ugx1Uys9t6-i24TErxV4AaABAg	2018-12-08T01:53:12.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
billion views holy shit	UgxF8kv1s75re9FLEvB4AaABAg	2018-12-08T01:16:16.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
I let my baby brother listen to this He s a man now	UgwGSrHEWFL-uHIzhZ54AaABAg	2018-12-08T01:08:59.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
de que canci n	UgwYqCCMD77wobfVWSh4AaABAg	2018-12-08T00:58:52.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
its very nice i love this	UgzvQtbFElPcEF1sOu54AaABAg	2018-12-08T00:35:26.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
My favorite song back then	Ugz8JmqR-dNiB3UeNxl4AaABAg	2018-12-08T00:17:25.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
teach your daughter to be kind and loving she is all that matters if she needs to know she will Spare her the pain Of your game	UgxfuS76vDhxJxvhiWp4AaABAg	2018-12-08T00:17:00.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
This song is so fire	Ugyub9r2F3dxdiGqU5R4AaABAg	2018-12-08T00:06:39.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
Quem e lil pump perto de eminem Tem alguma m sica com bilh o de views	UgwUUdU8MXqulCPSP914AaABAg	2018-12-08T00:05:57.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
when bae says she s home alone	Ugyds00LiwEovcv4TVR4AaABAg	2018-12-07T23:55:40.000Z	Comment	j5-yKhDd64s	Eminem - Not Afraid
Everybody	UgzzVr2lwpKQs4CikXR4AaABAg	2018-12-06T21:38:48.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
h l dinliyorum diyen	Ugw0DIQxNX0mmg1mHWh4AaABAg	2018-12-06T16:54:05.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
This song is lit	UgyjhMfna9Hw3cDaMgJ4AaABAg	2018-12-06T05:57:04.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
who will listen this in	UgyrC03OUQNzJWjnf6N4AaABAg	2018-12-06T05:13:44.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
IM NOT AFRAID Goes Outside Sees Spider on my ball MOM HELP ITS GOING TO HURT ME Mom I thought you said you Were Not Afraid Me Oh Forget it	UgyXP35eXQYegPzbjhZ4AaABAg	2018-12-06T03:05:56.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
Carai v i S tem gente que fala ingl s aqui Kd um brasileiro	UgwMu_LxGb_cT4vlpU14AaABAg	2018-12-05T22:23:28.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
How all like this son give me a like	Ugyw5FHPQygyThgH6hN4AaABAg	2018-12-04T16:27:22.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
This will never get old	UgyivwvDtqjvAno_wah4AaABAg	2018-12-04T16:24:40.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
I m not afraid anymore	Ugy_JlYSe2u6_p0HRXt4AaABAg	2018-12-04T01:57:48.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
His song is to try it n feel it man it s crazyy love this shit	UgywFbEnN7AAqlYdPOl4AaABAg	2018-12-03T16:45:22.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
Lose yourself is better my opinion don t get mad	UgywtHpIiB0S6ZkWdKx4AaABAg	2018-12-03T02:55:45.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
These are some of the longest songs that are actually good	Ugxwu3o08eGp-znib3t4AaABAg	2018-12-03T02:54:40.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
Ur not alone	UgyCvpHePjHNOfUSYt14AaABAg	2018-12-03T00:08:50.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
nostalgic	Ugy6ksium9cjLFJMBtJ4AaABAg	2018-12-02T23:24:20.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
Anyone rocking these songs via	Ugw_Zk41A4_VZWGMDDx4AaABAg	2018-12-02T20:30:18.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
soy el hermano del verdadero rapero y activista politenemy eminem anarchist bernd markus l shady	UgzeQ5nN20UnF_CiBhF4AaABAg	2018-12-02T02:14:22.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
esta version digital eminem hizo mi hermano quando se dio cuenta pata quien el puso desde un avion a youtube la cancion sobre sucessos del nueve once para decir al supuesto activista politico shady que siga luchando ellos me acompanaran con el worldwide movement para que coga la musica rap como motor para luchar sobrevivir y intentar de tumbar finalmente la politica mnundial bernd markus leitgeb o activist shady klagenfurt austria	UgzpZqQlAp21fQhpnw94AaABAg	2018-12-02T02:11:36.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
Yes eminem i want to get out to this demon chain and i will follow you Im not afraid	UgznRHLczByjISc2abt4AaABAg	2018-12-02T02:06:44.000Z	Comment	eYaSNZRbFsA	Eminem - Not Afraid Lyrics (HD)
Who listened in	Ugzt8J3qKv-y2Rnn3v94AaABAg	2018-12-05T13:26:09.000Z	Comment	bVo-5dh64QU	Not Afraid
Best song ever wrote	Ugxhz3Gvya5xUf2xExZ4AaABAg	2018-12-04T00:48:51.000Z	Comment	bVo-5dh64QU	Not Afraid
I m so fucking lucky to have this music as a kid	UgyNt7W0fSRf4t6Xyeh4AaABAg	2018-12-03T21:02:25.000Z	Comment	bVo-5dh64QU	Not Afraid
Grade school days I miss this em man had so much feeling in his music	UgxSN0E4RGATpO6IPaJ4AaABAg	2018-11-30T13:45:13.000Z	Comment	bVo-5dh64QU	Not Afraid
i love your misic	UgzQ1ZAk01hM82Fh-Dx4AaABAg	2018-11-28T22:21:30.000Z	Comment	bVo-5dh64QU	Not Afraid
This is powerful I came back to listen to this song for the first time since graduating high school after my fiance of years lost her eyesight entirely This song makes me realize how strong I need to be for her I love her and I sang this song to her to remind her I m always here She s been here for me now it s my turn Baby if someone sees this comment and reads it to you I hope you know I mean every word of what I wrote today I m not afraid	Ugz_5dv_aO5nEx08f5l4AaABAg	2018-11-27T16:20:24.000Z	Comment	bVo-5dh64QU	Not Afraid
