Comment	CreateTimeStamp	Type	videoID	videoTitle
Amazing how much upgraded equipment and technique helps and fighting spirit Nadal had his moments but he struggled against the Federer serve and improved return and those backhands by Federer were MASSIVE I don t think I ve ever seen Fed fight back like this ever	2018-12-02T14:15:22.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
Challenge at the final point was so naive	2018-12-02T06:45:36.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
Wow what a match by both players	2018-12-02T02:21:36.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
One of the best match ever played in history of tennis by these legends	2018-11-30T19:57:32.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
There is only one God	2018-11-30T01:22:03.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
We need Roger to defend AO not Roger	2018-11-29T17:44:06.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
Who is Better	2018-11-28T13:30:24.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
Gosh how can he yell and scream through the whole match	2018-11-27T14:28:54.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
Tell me when you ever see such amazing quality of tennis as when any pair out of the big play each other This is amazing They really do bring out the best in each other when they play	2018-11-26T05:46:08.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
nice video this final and the final were both nail biting finals thanks for another great video	2018-11-24T16:36:37.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
It should be called elclassico	2018-11-24T10:55:13.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
Nadal is amazing but I loved Federer playing on even terms with a strong backhand and going toe to toe with Nadals forehand	2018-11-22T19:59:31.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
La partita pi bella mai vista Grandissimo Roger e applausi a Rafa	2018-11-21T19:48:01.000Z	Comment	mFIOGpIQtVU	Roger Federer vs Rafael Nadal - Australian Open 2017 Final (highlights HD)
