Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
Today is officially days until LIGHTS OUT in Australia What would you rate the season out of	Ugxwnklw8pRQi5RjOYx4AaABAg	2018-12-07T15:37:23.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
That look	Ugy-LKNTi90zDJXjyEV4AaABAg	2018-12-08T02:43:34.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Live F theme song	Ugwwl3C96K4nHJVIRSx4AaABAg	2018-12-08T02:40:26.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
williams got more screen time in this montage over the whole season	Ugyigu5nlEKWOfQGTPd4AaABAg	2018-12-08T02:38:43.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Excellent news and good luck Nasser Qatar dakar rally	UgzNeq6BY6RYySvrp6x4AaABAg	2018-12-08T02:35:43.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Excellent job and professional services Nasser Qatar dakar rally	Ugy2f8E8KXWDk5dpE1B4AaABAg	2018-12-08T02:35:38.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
does anyone have her instagram	UgyLR4zkMSOZTecu1Zh4AaABAg	2018-12-08T02:32:21.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Everytime i see vettel into the barriers in germany I get so angry for the opportunity that he loses	Ugz6fzkuJEX4KEGNQ614AaABAg	2018-12-08T02:29:35.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
SEASON REVIEW	UgyJKOr6FHQno1EWsSN4AaABAg	2018-12-08T02:28:25.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
You missed the battle between Lastname brothers	Ugww9tor8uVbTN5IsBN4AaABAg	2018-12-08T02:27:25.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
GET IN THERE LEWIS	UgwKoElKViG_XnQhGMV4AaABAg	2018-12-08T02:23:11.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Awesome Nice job	Ugz3wy24WFrBNdGMaRR4AaABAg	2018-12-08T02:09:29.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Anyone else notice the female tyre changer Pleasant surprise	UgwiY8P537CeDLbm_1V4AaABAg	2018-12-08T02:09:11.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Hmm f best season with midfield jordan able to win championship with only races left i think and and good seasons with the compulsory v eargasm or v Grass gravel circuits Wet races Blown engines and Murray walker and martin brundle	UgxSxEBlhUi81lW6cQ54AaABAg	2018-12-08T02:07:23.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
this theme is so epic Gonna take a lot for the next one to beat this	UgyrNzYI04Rh9ke-MIh4AaABAg	2018-12-08T02:00:29.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Best Season HANDS DOWN BEST SEASON EVER LIKE IF YOU F KING AGREE MATES	UgwpQhDkU2axnwdgWft4AaABAg	2018-12-08T01:58:08.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
So the crashes are the very best of Formula One	UgxUidHyUbWFpEHqBoN4AaABAg	2018-12-08T01:56:21.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Nice cameras nice realisation Too bad it is coming years too late when F F cars F circuits have totally disappeared	UgxII73xMrWfF8XvwiR4AaABAg	2018-12-08T01:54:18.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
better then yt rewind XD	UgzXHFbNVwLPggJkJz54AaABAg	2018-12-08T01:52:03.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Nice Video but Schui is missing	UgzEZqsE6230Z1YKzI14AaABAg	2018-12-08T01:50:02.000Z	Comment	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
FORMULA cause Daniel Ricciardo had a suicide car	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_WWLYcnAX	2018-12-08T02:26:31.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
EDITING IS AWESOME MAN WHO DONE THIS JOB	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_QEbESS3G	2018-12-08T01:31:40.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
FORMULA dislike purely for this awful music Literally the only bad thing in F right now just does not work Bring back the chain or even just drive classic tracks that worked	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_KNMbEipi	2018-12-08T00:40:26.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
out of because it was full of excitement and unexpected moments but I still think the cars were not able to compete with Mercedes and team orders for Valtteri Bottas were boring	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_D6gK-c0Z	2018-12-07T23:37:00.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
because the halos look a little ugly and they could have saved it for next year Overall though very good	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_Byt40b0_	2018-12-07T23:27:03.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
This brought a tear to my eye	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_AH0wqmPJ	2018-12-07T23:12:11.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
FORMULA	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_8m5YKrO0	2018-12-07T22:59:05.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
out of	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_85r4wle0	2018-12-07T22:53:11.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
all the way is gonna be one heck of a year	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_64VxOgDf	2018-12-07T22:35:32.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Can u do the F season review of this year pls	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_3mpiINYG	2018-12-07T22:15:30.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
FORMULA I rate it over	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_2oas3dW_	2018-12-07T22:07:00.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Spectacle Drama Races Atmosphere Action Overall I wanted it to be precise lol	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_1WNa9V87	2018-12-07T21:55:39.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
This is why I love F pure racing passion love competition rivalry battles compassipns mistakes comebacks rage ALL OF IT Wish non Racing fans would understand this when they watch that epic season montage	Ugxwnklw8pRQi5RjOYx4AaABAg.8oZMDssUAsw8o_17rL5GGF	2018-12-07T21:52:18.000Z	Reply	cqnFMDHshEc	F1 Rewind: The Very Best of 2018
Se pega um carro bom vai ser um mega campe o	UgzCdwPql88HNolNXmN4AaABAg	2018-12-07T21:07:09.000Z	Comment	v-JrFx0dly8	George Russell's Path to Glory | 2018 FIA Formula 2 Championship
Hope he can shows his skills with a Williams car	Ugw187Roupbx9rwSMxF4AaABAg	2018-12-07T19:58:51.000Z	Comment	v-JrFx0dly8	George Russell's Path to Glory | 2018 FIA Formula 2 Championship
The Danish Girl	Ugzq7jZQxjK8RtihkIN4AaABAg	2018-12-07T16:38:30.000Z	Comment	v-JrFx0dly8	George Russell's Path to Glory | 2018 FIA Formula 2 Championship
Front of the grid in F now at the back of the grid in F	UgyZIHlz644Kaq13cG54AaABAg	2018-12-07T13:18:47.000Z	Comment	v-JrFx0dly8	George Russell's Path to Glory | 2018 FIA Formula 2 Championship
Sirotkin the best	UgwOI9rgQ3eAZDursjB4AaABAg	2018-12-07T10:27:06.000Z	Comment	v-JrFx0dly8	George Russell's Path to Glory | 2018 FIA Formula 2 Championship
We all know he is going to be with Hamilton the following year	UgyfcouzaXx190H8q194AaABAg	2018-12-07T09:29:19.000Z	Comment	v-JrFx0dly8	George Russell's Path to Glory | 2018 FIA Formula 2 Championship
Savour those wins George It will be a while before you see any more sadly	Ugz_1E4p7KgouDOn9wB4AaABAg	2018-12-07T09:23:22.000Z	Comment	v-JrFx0dly8	George Russell's Path to Glory | 2018 FIA Formula 2 Championship
