Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
AVENGER END GAME TRAILER LAUNCHED GO WATCH NOW EVERYBODY IN MARVEL OFFICIAL YOUTUBE CHANNEL	UgyDMmbMGhFvYfX9m9V4AaABAg	2018-12-08T02:43:35.000Z	Comment	NspqGM0DbbQ	Game of Thrones | Season 8 | Official Tease: Dragonstone (HBO)
So less views	UgwhCaqlsBqCjwhr5oJ4AaABAg	2018-12-08T02:42:36.000Z	Comment	NspqGM0DbbQ	Game of Thrones | Season 8 | Official Tease: Dragonstone (HBO)
Mortal Kombat Game of Thrones and Avengers April is looking alright	UgxeGzrpEoWyAl1mQM54AaABAg	2018-12-08T02:40:56.000Z	Comment	NspqGM0DbbQ	Game of Thrones | Season 8 | Official Tease: Dragonstone (HBO)
The lion represents Cersei and her imminent death in season she will burn in a feeble attempt to burn down Kings Landing	UgxoHPd3fjh_lMLZVWZ4AaABAg	2018-12-08T02:40:49.000Z	Comment	NspqGM0DbbQ	Game of Thrones | Season 8 | Official Tease: Dragonstone (HBO)
I thought we were getting a prequel that went over Robert s rebellion	Ugyxj47IX5zzubBrrwR4AaABAg	2018-12-08T02:39:00.000Z	Comment	NspqGM0DbbQ	Game of Thrones | Season 8 | Official Tease: Dragonstone (HBO)
Global Warming	UgxWryMhn5gT4K8olkN4AaABAg	2018-12-08T02:37:40.000Z	Comment	NspqGM0DbbQ	Game of Thrones | Season 8 | Official Tease: Dragonstone (HBO)
Someone tell me is this show worth watching I know I m late but if it s as good as everyone says then I want to be able to catch up by the time the season comes out	UgxNKkUImmunfFSQCHh4AaABAg	2018-12-08T02:37:15.000Z	Comment	NspqGM0DbbQ	Game of Thrones | Season 8 | Official Tease: Dragonstone (HBO)
If Bronn dies I fucking quit the show	UgyEWfD-TM0yQG7Tkz94AaABAg	2018-12-08T02:37:07.000Z	Comment	NspqGM0DbbQ	Game of Thrones | Season 8 | Official Tease: Dragonstone (HBO)
Awesome No information at all except ice and fire How fucking revealing	UgxFoVLezq6pYcUIxIF4AaABAg	2018-12-08T02:36:42.000Z	Comment	NspqGM0DbbQ	Game of Thrones | Season 8 | Official Tease: Dragonstone (HBO)
Is April the best month of or what avengers and got	UgzXWf3uvS5uyo4rqFZ4AaABAg	2018-12-08T02:35:46.000Z	Comment	NspqGM0DbbQ	Game of Thrones | Season 8 | Official Tease: Dragonstone (HBO)
