Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
That yard run shouldn t had counted Tony Dorset didn t get away with hands to the face face mask It should had been called back Kaka yarder	Ugx6O2w83XWkiWhJEJN4AaABAg	2018-12-08T02:43:37.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
No words to explain Henry No words	Ugy8fWV9Kp7QvgIe5Bl4AaABAg	2018-12-08T02:42:56.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
Packers didn t lose	Ugxfe0AEGyIilUOfUdp4AaABAg	2018-12-08T02:38:39.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
Its not even fun to make fun anymore Just sad Good on Derrick Henry Always respected him New Beasts	UgxR-g2hnPD1xv4YKTF4AaABAg	2018-12-08T02:34:46.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
if only	UgwFweeWZ4_ya0hM82Z4AaABAg	2018-12-08T02:28:50.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
I want yall to know something Pass is caught	UgxbrNbXO3nwbfbQf-J4AaABAg	2018-12-08T02:27:30.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
The YD TD run epitomizes rigged sports Is not quitting Is rigged So was Henry s second TD run So fake The acting is terrible Like watching the s football movie The Program Jags definitely aiming to draft a QB with their first pick next April	UgysmbJ9FqiSRFPiNJJ4AaABAg	2018-12-08T02:02:39.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
SOMEBODY STOP THAT MAN DAAAMN	Ugw46jIAr-IEwW9IrNN4AaABAg	2018-12-08T02:02:03.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
sOrRy aSs JaGs done let Henry get his first yr game of his career and he been playing for a minute now Throw the whole Jacksonville away	UgxKsyDKgnKSVmEHdpx4AaABAg	2018-12-08T02:01:30.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
BEAST MODE Activate	UgyzArmC4UhnVDRgAPx4AaABAg	2018-12-08T02:00:43.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
Wow my Jags suck this year	UgzutpoIUSkdHGLRfyV4AaABAg	2018-12-08T02:00:42.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
TDs	Ugxn0DNjxP1eaXa07sh4AaABAg	2018-12-08T01:56:48.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
Legend has it that Derrick Henry is still gashing the Jacksonville defense	Ugyvg5amr-QeUdpcLJJ4AaABAg	2018-12-08T01:52:02.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
I think the Jags have found themselves to have the worst QB situation in the NFL honestly a toss up between them and Washington right now I m not sure the titans are that good just yet we will see how they fare in the post season if they get in but I know for sure the Jags are just that bad this year That defense isn t the same this year	UgxecJ8hWbbE6zjvGk94AaABAg	2018-12-08T01:50:11.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
Eli to DUVALL	Ugwa9j5_vYwKDin8RKx4AaABAg	2018-12-08T01:45:09.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
Love My Titans Richmond Virginia	Ugy5-MG8I1l7YHejQBR4AaABAg	2018-12-08T01:35:39.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
That was the most atrocious example of bad tackling I ve ever seen on that yard run How did these guys even make an NFL roster	UgxaVWBqd9ATNeVPRM94AaABAg	2018-12-08T01:26:30.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
This just goes to show how capable the Titans are They have shown time and time again that they can play with the best and at times beat the best Titans find that winning groove stick to the game plan get physical on defense and bring a Super Bowl win to Nashville TitanUp	UgytxgzySM5gMoTk1MJ4AaABAg	2018-12-08T01:10:02.000Z	Comment	9VZbRaAXWBU	Jaguars vs. Titans Week 14 Highlights | NFL 2018
