Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
I was able to download the app on my Samsung tab a do I need a phone	UgwusFWX16ZB_RmpoA14AaABAg	2018-12-07T17:43:45.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
What I want is a VR AR headset which allows me to monitor a x array multi screen and switch screens between some kind of go to my PC and or wireless security cams with audio so I can go about my business around my home office or back yard and still watch and hear all the streaming webinars cablecasts of various television shows and radio broadcasts along with any phone calls text messages see out the windows or spot anyone who rings the doorbell Some kind of neural frequency multiplexer would be nice too That way I could possibly use brain wave entrainment technology to hopefully assimilate all the information in a pulsed packet form of some kind Call it a hyper focused self hypnotic state if you will A bite tube controlled coffee dispenser might come in handy as well but not a deal killer I d even pay full retail for the entire package if it worked and didn t cause cancer	UgwIBcF-4J9UPLwnBoZ4AaABAg	2018-12-07T04:41:13.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
man i got the playstastion vr and i cant watch porn	Ugz41ENAb2v7DF56DM94AaABAg	2018-12-07T04:02:30.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
Sorry Norm but isn t a main stream market price Maybe for you guys but you re still missing out a lot of consumers	Ugw19evN9Ox3F6K74pl4AaABAg	2018-12-06T17:05:08.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
Can two people watch the same movie on two separate Oculus	UgzZsvt2p52f67ckaVR4AaABAg	2018-12-06T01:18:36.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
Now I could watch bestiality on the go and in private	UgyEKbkMdKzWbEQvJJp4AaABAg	2018-12-04T16:47:09.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
So after tax in canadian dollars your looking at close to for the GB and for the GB to basically have Netflix in theater screen size and few other social media apps seems pricey and gimmicky Your probably better going for Rift or HTC if you re really wanting the VR experience and just spending abit more Least with that there s the option of decent games to justify the cost plus not worrying on if you decided on the GB vs GB	UgwZfHkr3H8N5GUcNxB4AaABAg	2018-12-04T01:00:50.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
Just got an add sec into the video wow	Ugxo-xaPUR9bdjWJHrh4AaABAg	2018-12-03T17:10:27.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
hacking this Oculus Go headset and then using it for PC would be an idea Since it has a much better panel and lenses as mentioned in this review	UgwQZsdM2oGnbyX3ac94AaABAg	2018-12-03T11:38:49.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
Can you play games on it	UgwWWuPXwvaii5B_Ok94AaABAg	2018-12-03T01:49:21.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
Had a question I m getting into VR development Which be headset do you recommend I m not sure if I m getting into game development or app but do want to create high end content	UgzPUhiNXW5S1JieXlB4AaABAg	2018-12-02T01:26:03.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
My man s fingernails are Mad Dirty	Ugwz5NHRl74tcPiM_2J4AaABAg	2018-12-01T21:06:21.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
If me and my buddy are sitting in the living room and we both put our headset in to go to a concert I would like to look over at him and actually see him at the concert with me	UgwQYS3mWrPdoPBGXeB4AaABAg	2018-12-01T06:48:58.000Z	Comment	aQcR1q35vMc	Oculus Go VR Headset Review!
