Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
Niche	UgxTyze4xbK2mXoDfQt4AaABAg	2018-12-07T17:40:48.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
So what sets this apart from a dollar one on Amazon	UgyntAhc16ZaCTNC6f54AaABAg	2018-12-03T14:44:45.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
all i see is PIXELS graphics vision glasses guess they didn t change much from Gear vr that i have what a shame	Ugwu7suxU2lntPWCCA14AaABAg	2018-11-25T02:51:49.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
is it good for the s	UgwfvIX2KV0e9dupKRt4AaABAg	2018-11-23T21:14:56.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
Love it	UgwOC52ZtFdzvKeVONF4AaABAg	2018-11-21T16:45:55.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
does it work with Iphone	UgzFx37fiG8ItDUm7Ih4AaABAg	2018-11-18T18:30:38.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
His Rhythm of Speaking	UgzF5j4ZGBJ8seZd2Ct4AaABAg	2018-10-27T17:42:40.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
live nba games are available in D via nextvr with league pass or free next day for everyone there is game per week and all the games can be viewd on demand so you can watch multiple games you missed live x games type sport events are also live at times as well as boxing and wwe	Ugz_w4_YQfr4VoZKbKJ4AaABAg	2018-10-19T06:14:56.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
Gear vr sucks Blurry and pixeled no where near to what u r seeing in this video	UgwFLTry2kKbLQmnug54AaABAg	2018-10-09T13:06:19.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
great video	Ugy4-9qtu6X5UsKrFAR4AaABAg	2018-10-07T05:16:20.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
I tracking headset next Samsung can compete with Sony	Ugwms4ge2wcFCre1z8F4AaABAg	2018-09-22T02:21:43.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
I would buy that just to watch porn lol	UgzSO6khxO6oTIPabaR4AaABAg	2018-09-18T18:38:09.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
I wanted VR headset but needed something portable I could move around so a Rift or Vive weren t an option This is perfect	Ugz7v8pH8qAhJDwxdFd4AaABAg	2018-09-13T16:16:31.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
It s niche not nitch Dumb yank	Ugx7SlTb2YTi8-NRMeN4AaABAg	2018-09-13T00:44:41.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
I was looking for hands free option I cannot watch porn with my hands on the controller man	UgxLEOA3kVhjeNMWxCJ4AaABAg	2018-09-12T07:18:24.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
So to use this you should have Samsung phone yes I dont use Samsung phone so I must buy it	UgzqL4IwV0FkA5NcEdJ4AaABAg	2018-09-03T09:03:48.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
Good review Looks like i ll be choosing between Oculus Rift and an S plus Gear	UgyeJKFA855dOxO5Ysx4AaABAg	2018-08-23T16:53:22.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
jvuvig	Ugz2uX6a_3zhcFu5z9l4AaABAg	2018-08-18T01:50:36.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
is anyone watching in	Ugz4ANMFBRT2BTr4ZJF4AaABAg	2018-08-11T17:55:10.000Z	Comment	FmC4nDabAkw	Samsung Gear VR w/ Controller Latest 2017 MODEL - REVIEW
I ll just leave this right here	UghZ2ZP3bX-Yi3gCoAEC	2017-07-27T19:00:40.000Z	Comment	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
