Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
ice cube	UgxMLGaHqzGoeE6IW194AaABAg	2018-12-08T02:35:52.000Z	Comment	eIvPOkCN7Lo	The Tonight Show Starring Jimmy Fallon Promo 12/7/18
Amber Heard is lovely	UgwuQ92C_fcnOv9V2cN4AaABAg	2018-12-08T01:37:59.000Z	Comment	eIvPOkCN7Lo	The Tonight Show Starring Jimmy Fallon Promo 12/7/18
It s kind of cool that they even post the individual episode promos on here	Ugy0GtqnYn_WN5Wd14t4AaABAg	2018-12-08T00:51:25.000Z	Comment	eIvPOkCN7Lo	The Tonight Show Starring Jimmy Fallon Promo 12/7/18
th Like	Ugz0_vcwAPOFaEKcuUp4AaABAg	2018-12-08T00:45:37.000Z	Comment	eIvPOkCN7Lo	The Tonight Show Starring Jimmy Fallon Promo 12/7/18
FIRST CMMT AND LOVE U	UgxkU0vdUSsyoYUO9V14AaABAg	2018-12-08T00:16:18.000Z	Comment	eIvPOkCN7Lo	The Tonight Show Starring Jimmy Fallon Promo 12/7/18
Please help us out D	UgyskqkPH-mhzOWjtWp4AaABAg	2018-12-08T02:54:18.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
Love the no shoes he doesn t give two shits haha good for him	Ugwby0jnk4SJf6mR6ER4AaABAg	2018-12-08T02:51:52.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
He used to have a flatter abs But I still love him He looks much more manly now that he s bulked up	UgwoFgxPvCt_czwM8iF4AaABAg	2018-12-08T02:49:29.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
Is that Aquaman or Zeus	UgwxtDHLFewFY4Tbs-J4AaABAg	2018-12-08T02:49:22.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
I love him Love love love	UgxcuATkQoR0pz2hfrZ4AaABAg	2018-12-08T02:48:14.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
Jason Momoa is a bean	Ugy_VhlQ9dSstaoa5Tx4AaABAg	2018-12-08T02:48:05.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
Que se fumo ese donraqui	UgwCjZ2vQyva_y7XgmR4AaABAg	2018-12-08T02:45:54.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
Jason sucks in his obvious beer gut before taking his shirt off and women go crazy I mean don t get me wrong most of us guys would do the same And get no Cheers He is a sexy man But it was just funny to watch CAuse post production does a lot for these guys and their physiques Check out Gerard Butler In One of the first to do this on Such a large scale when it comes to How many scenes	UgydYCo8WCkra7-QNBd4AaABAg	2018-12-08T02:43:28.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
Aquaman fiIm avaiIabIe here t co SKzfsL X H Unglaublicher film Sehr zu empfehlen es auszuprobieren	UgycqiRVkoVS1S6wj_F4AaABAg	2018-12-08T02:43:03.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
Hes literally a giant gorilla just rampaging omg	UgwcGnaM9pDgAeixa4N4AaABAg	2018-12-08T02:42:15.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
I m a marvel fan I don t belong here Peace out	UgxZGOMhHSZl0x-CnOZ4AaABAg	2018-12-08T02:40:55.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
Haha is this a thing Can I buy a trident to do trident throwing	Ugw3HDkBWvLHZihLDBx4AaABAg	2018-12-08T02:40:34.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
He definitely just dothraki d that shit	UgxaYj0AeTTF-ewpM8d4AaABAg	2018-12-08T02:31:12.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
The things I d let this man do to me	Ugy1khbzdToE3vuo8ut4AaABAg	2018-12-08T02:31:09.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
Maybe I m worried about the wrong things but Jason ain t got no socks on with those boots lol he still fine as hell thou	UgyHTk8BVlQj5BIP5Od4AaABAg	2018-12-08T02:26:50.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
Aquaman fiIm avaiIabIe t co e eww QMf Unglaublicher film Sehr zu empfehlen es auszuprobieren	Ugz-Na6c0M4akmAhHvZ4AaABAg	2018-12-08T02:26:40.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
Jason Momoa has to be the happiest hunkiest man in the world	UgxQRXYKF3Trx7H9fvx4AaABAg	2018-12-08T02:21:26.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
IM SO HYPED FOR THE MOVIE YESSSSS	Ugxz5qoJqjL8dFgvPyV4AaABAg	2018-12-08T02:20:42.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
what a man	UgzS6t83V5pHP0AjOjF4AaABAg	2018-12-08T02:20:36.000Z	Comment	p5xIiIelscc	Trident Throwing with Jason Momoa
I love that guy Such a humble family man	Ugyiuk1acnvFLj3_69d4AaABAg	2018-12-07T04:42:03.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
Thanks everyone for all the kind words we appreciate the support If you would like to view the animated short film Crow The Legend it is free to watch on John Legend s YouTube channel You do not need an Oculus VR headset to view this version You can find it here If you would like to experience the Oculus VR version it is also free and available here We hope you enjoy it CrowTheLegend annieawards EGOAT	UgyQ_bLELZYp8nXWd2x4AaABAg	2018-12-06T19:56:10.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
An absolute um well his last name	Ugw4-7povQ7PskzdJt14AaABAg	2018-12-06T18:53:56.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
ALLL OF MEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE	Ugzk2Tm8Y5_4QG6QFz14AaABAg	2018-12-06T18:16:19.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
The Crow is such a beautiful story I love it really emotional poetical and yeah beautiful	Ugxkbu5HzpZeRv8G3nF4AaABAg	2018-12-06T17:37:57.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
Y is there only k views Nd comments in hrs	Ugx-ISZjnkMFDmd7iZZ4AaABAg	2018-12-06T17:00:49.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
Finally	UgwqbkWuTlIF2kMkTk54AaABAg	2018-12-06T16:59:22.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
I watched The Crow on Liza Koshy s channel its such a cute animated short and John Legend was great I didn t know it was virtual reality	UgywwmN2V85zURjOBvl4AaABAg	2018-12-06T14:28:52.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
John buddy you are Arthur insert Arthur fist meme	Ugz-RWdjlz0gtWLik7x4AaABAg	2018-12-06T14:08:22.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
John Legends leaked a Snippet of his project	UgxVIapkt-36kPlh7GR4AaABAg	2018-12-06T12:27:31.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
I love you John Legend Jimmy Fallen	Ugwe-ccyyJ2pSPgTLw94AaABAg	2018-12-06T12:25:42.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
John Legend seems like he cryes after sex	Ugxz6PZFtHO6k8LLBBR4AaABAg	2018-12-06T12:24:46.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
Such an amazing artist	Ugzt9posQr6aIGoFvgx4AaABAg	2018-12-06T12:22:22.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
John Legend is really a legend his music is awesome	UgzwGpVN-clcHQ6OSNV4AaABAg	2018-12-06T12:11:44.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
Subscribe to me I m just a youngin tryna make it	UgxMlK7d448FjWDL1Wd4AaABAg	2018-12-06T12:08:39.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
So early it s lit	UgyaCU_8SbQ_DTPGZwh4AaABAg	2018-12-06T12:05:20.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
Miss him	Ugx__8s6d-ZXtox6R2N4AaABAg	2018-12-06T11:50:49.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
John Myth	Ugx_y5x4Xi7QQ6ITI_14AaABAg	2018-12-06T11:48:41.000Z	Comment	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
Jimmy did fall	Ugwe-ccyyJ2pSPgTLw94AaABAg.8oWRV6bdhnp8oWiJnDanDn	2018-12-06T15:01:26.000Z	Reply	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
John Legend s leaked project	Ugwe-ccyyJ2pSPgTLw94AaABAg.8oWRV6bdhnp8oWRv7wyBS_	2018-12-06T12:29:23.000Z	Reply	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
He is indeed he leaked a snippet of the project recently	Ugzt9posQr6aIGoFvgx4AaABAg.8oWR6jU1Ap-8oWRm4_kynb	2018-12-06T12:28:09.000Z	Reply	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
He leaked his project recently	UgzwGpVN-clcHQ6OSNV4AaABAg.8oWPtnH9E7I8oWRycaYbym	2018-12-06T12:29:52.000Z	Reply	zhFoo_KODUo	John Legend Got the Whole Family Involved for A Legendary Christmas
The cringe though lol	UgyDbsKfr-QK42LPe9t4AaABAg	2018-12-08T02:54:01.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
I knew he would be one of the answers lol they smashed	Ugwww8gBNHXNVPVTRd54AaABAg	2018-12-08T02:51:31.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
Kate Hudson WHy would you want to date a woman thats shaped like a year old Go for the women shaped like women that were on your show	UgzQXbL5IFS5SuFP_Rd4AaABAg	2018-12-08T02:42:49.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
I m a simple guy I see Margot Robbie I click	UgzNuuxKe-biQLAfOJt4AaABAg	2018-12-08T02:39:07.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
She almost makes his atrocious show watchable	UgysnCJvH_GhpSODde54AaABAg	2018-12-08T02:37:43.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
I love Fallon That s all	UgzJ-QWhaUPLTyjs4rZ4AaABAg	2018-12-08T02:20:16.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
Something about Jimmy is off these days	Ugwh5CPeXnKonSaeZuR4AaABAg	2018-12-08T02:11:32.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
Too bad Kate Hudson was taken by the lord of Muse Matt Bellamy lol Until they broke up	Ugyz5AEqYYAbf2JnEgF4AaABAg	2018-12-08T02:10:58.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
AMF is my favorite drink to get at the bar lol	Ugw637Q0oKIRaaT9Lq14AaABAg	2018-12-08T02:08:51.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
jimmy is a sweet guy	UgzhszCrtlz5rkNCt9p4AaABAg	2018-12-08T02:01:45.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
The things I would do to her	UgzHQU6KWNM4DXsnsKZ4AaABAg	2018-12-08T01:39:41.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
Had nooooo idea she had an accent	UgwS7uDHUSJAM-IWu5h4AaABAg	2018-12-08T01:17:14.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
I just keep watching ugh	Ugw6s9QEhsYlpwOlI4F4AaABAg	2018-12-08T01:17:09.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
She hot	UgznTaUlNkngDHyPbIV4AaABAg	2018-12-08T01:01:38.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
I love her she s one of the very few actresses I look up to	UgyPWh0Wfqz6EbXGeWZ4AaABAg	2018-12-08T00:46:53.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
Jimmys reaction to not being noticed in Almost Famous priceless	UgzlwCPm38pByPw0qvx4AaABAg	2018-12-08T00:46:24.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
she s as beautiful as boring groaning	Ugwxpwi7Zg27CZbPwRB4AaABAg	2018-12-08T00:37:57.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
the Howard Stern Question Answer where you and your wife had sex	Ugx6jnEqV6yMFDn01A94AaABAg	2018-12-08T00:20:51.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
Once you go Will you never Smith back	Ugy6L7YZ1pyk03-nW3B4AaABAg	2018-12-08T00:14:00.000Z	Comment	zNjO6arjuAc	Loaded Questions with Margot Robbie
