Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
Taylor is not nominated	Ugw-E_cgdIbInk7yN3N4AaABAg	2018-12-08T02:30:49.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
Damn she almost makes me want to be straight The woman has serious charisma	UgyDcDc-TI6YKGSv9P14AaABAg	2018-12-08T02:26:45.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
My only question is How tf is her makeup still perfect even after dancing in the rain for like minutes	UgwUPmgXQY_xYBNMfn54AaABAg	2018-12-08T01:57:40.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
kinda reminds me of a spot on reenactment of the little girl on sias chandelier eh	UgxMUG-iz9T7e3DjX9V4AaABAg	2018-12-08T01:36:21.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
Hey hey you you I don t like your girls friends song	UgzMW4LsdpyziByEIwF4AaABAg	2018-12-08T01:13:47.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
Grammys are over	Ugxu6h_FLki0kHD37HN4AaABAg	2018-12-08T00:59:14.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
Im not a swiftie but she sings really good I think i might be a swiftie Just wait yall	UgxnjtmPswSB1HGdiUZ4AaABAg	2018-12-08T00:51:50.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
ESPA OL ALGUIEN	Ugx2sV--PHJGNaG38pJ4AaABAg	2018-12-08T00:49:28.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
Love Taylor Swift from Cambodia	UgyPxO1PRWf9MQUskmh4AaABAg	2018-12-07T23:59:18.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
i really like the scene where you are dancing in the rain near the end Taylor great dancing	Ugw90uJhjrwCPyTZwmJ4AaABAg	2018-12-07T23:37:11.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
thumbs up if you love Taylor swift like me	UgyktYEVwARZyjHzxzZ4AaABAg	2018-12-07T23:13:57.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
HOW DARE YOU DID DONE DID DO MAKE SONG FOR SOUTHPARK YOU POO POO HEADED TOOTER IM NOT THIS WAS A JOKE	UgyaPla8fawYtGARdNZ4AaABAg	2018-12-07T22:58:18.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
the car scene she tried to copy that s song video	Ugws6nnNxuiYIR4oKBl4AaABAg	2018-12-07T22:38:57.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
T Ta Tay Tayl Taylo Taylor Taylor S Taylor Sw Taylor Swi Tayloy Swif Taylor Swift Taylor Swif Taylor Swi Taylor Sw Taylor S Taylor Taylo Tayl Tay Ta T Our queen is back	Ugw4Pkv7Ia27rRf8ayR4AaABAg	2018-12-07T22:08:34.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
This song deserved a grammy nomination	UgyOVhwHj_IHq-oER5l4AaABAg	2018-12-07T21:57:41.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
Love you taylor Lwymmd take forever to get billion Guys we can do it befor tay s birth	Ugy-Oz1qdyGJs4Q4_b54AaABAg	2018-12-07T21:33:05.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
You keep playing with the boys	UgyXZ1sEjYVcf0RV0qx4AaABAg	2018-12-07T21:20:01.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
Oh come on tay	UgwZcTZZW_bevZ1brbF4AaABAg	2018-12-07T21:18:55.000Z	Comment	tCXGJQYZ9JA	Taylor Swift - Delicate
And DAMN Those shoes are fierce	UgyDcDc-TI6YKGSv9P14AaABAg.8o_WXzleuE08o_WdxWdNYi	2018-12-08T02:27:42.000Z	Reply	tCXGJQYZ9JA	Taylor Swift - Delicate
Taylor is not nominated and we can t do b of views Tay in depression	UgwA38-aaQLsivjJy6l4AaABAg	2018-12-08T02:32:10.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
I wish I could give you likes	UgyrAHBMzJepA3zdGip4AaABAg	2018-12-08T02:04:15.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
La amooooo	UgzP6aVkiGHHRlZ2STx4AaABAg	2018-12-08T01:49:31.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
Demonic asf	UgwhbYXeDX-JRX4Yhj54AaABAg	2018-12-08T01:47:42.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
I told you to make	UgwqTdtj4z689ZUoDg54AaABAg	2018-12-08T01:43:24.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
She ia just copying avril lavignes style tbh i mean it was a good song but reminded me way to much of avril lavigne	Ugx61GJonllHGSX8MMt4AaABAg	2018-12-08T01:34:12.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
I came here to just to dislike this video Also you guys are a cult	UgwMyUWw4rZ1BK-XNa54AaABAg	2018-12-08T01:22:20.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
k views for hours STREAM HARDER SWIFTIES	UgzFCUzP7H3j_tERhMt4AaABAg	2018-12-08T01:18:10.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
Lets go swifties lets make our momma proud	Ugx_fKRWf3qHLx5YHsh4AaABAg	2018-12-08T01:03:49.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
so close to B	Ugxgt5iqNJ1lA87tGCl4AaABAg	2018-12-08T00:55:10.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
Keep streaming Swifties B is so close	Ugw9BmAqlKXpNZ56B-Z4AaABAg	2018-12-08T00:49:02.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
It ll take about weeks to get to a billion	Ugw-IUsh2zjEU6q9-I94AaABAg	2018-12-08T00:48:44.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
Here before billion	UgwWIHImDsBnQgS3V6l4AaABAg	2018-12-08T00:38:09.000Z	Comment	3tmd-ClpJxA	Taylor Swift - Look What You Made Me Do
