Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
Thunder vs Nets Full Game Highlights	Ugyp0GXJ0BnhGSdnQgd4AaABAg	2018-12-06T03:12:50.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
Was Lebron injured this game They would have won with him	UgyIyZERkqYeqWUhouN4AaABAg	2018-12-08T02:35:18.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
Ang swerte ni kuya ang juicy lahat sana all	UgzV-piB_dr7yjOzz1h4AaABAg	2018-12-08T02:21:22.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
KD Always Breaking Cleveland Fans Hearts With Deep s Lmao	UgyDyebPAOg_QQk2YLB4AaABAg	2018-12-08T01:48:13.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
Steph Kd	UgzAMptDIkg948U4UE54AaABAg	2018-12-08T01:30:06.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
Warriors fan	UgzvvKjH9xC9izk24Gx4AaABAg	2018-12-08T01:08:26.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
C C is lost without LBJ	UgzOM2MLjnkPL0MPma14AaABAg	2018-12-08T00:20:06.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
Suns still beating the rest of the League for the Top Mount Zion Prize Hawks and Bulls in hot pursuit followed lastly by Cavs	UgznFeGZEIvvTGk7yE94AaABAg	2018-12-08T00:17:25.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
Steph makes everyone enjoy to play has no hesitate to move	UgwsQr8bxh-jrRP3pZR4AaABAg	2018-12-08T00:04:59.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
he sliding	Ugw4xVF-1vJoK7jX_Yd4AaABAg	2018-12-07T23:27:21.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
If Draymond left Warriors they won t be able to secure champion title for years to come	Ugx7C23YhfJYIaEZDbN4AaABAg	2018-12-07T23:07:20.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
stephen curry playing like Lebron is still on the cavs roster lol GSW officially buried the Cavs now that lebron is gone	Ugx27691_WxspK2mWgt4AaABAg	2018-12-07T22:13:53.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
Nice channel	UgxebajmxkiTlpL27XR4AaABAg	2018-12-07T20:36:39.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
Go Cedi	UgzH-atJSYM7gZYxrfF4AaABAg	2018-12-07T19:45:29.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
Lebronchitis	Ugyq_80usPDzPDAix354AaABAg	2018-12-07T19:37:03.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
Lol Steph was so fuckin lit up after KD hit that transition	UgxaoNRnP-U-r2fz9gd4AaABAg	2018-12-07T18:05:12.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
Ahhh Haaa	Ugzen2Ruy0izoWQi4NF4AaABAg	2018-12-07T17:41:31.000Z	Comment	EL4ggDXMzjw	Golden State Warriors vs Cleveland Cavaliers Full Game Highlights | 12.05.2018, NBA Season
